lab proto group dose1 dose2 body wet blot
Berlin A  1  0.00  0.00   31.90   21.20   17.20
Berlin A  1  0.00  0.00   31.10   22.00   20.50
Berlin A  1  0.00  0.00   32.90   23.50   20.10
Berlin A  1  0.00  0.00   31.60   17.30   16.50
Berlin A  1  0.00  0.00   33.20   18.80   15.90
Berlin A  1  0.00  0.00   30.60   34.00   26.10
Berlin A  2  0.00  0.00   34.50   29.00   25.90
Berlin A  2  0.00  0.00   32.60   46.20   42.50
Berlin A  2  0.00  0.00   32.70   37.70   34.60
Berlin A  2  0.00  0.00   34.20   48.00   44.10
Berlin A  2  0.00  0.00   31.10   31.40   28.40
Berlin A  2  0.00  0.00   33.00   22.10   20.30
Berlin A  3  0.01  0.00   34.10   40.90   37.50
Berlin A  3  0.01  0.00   35.70   35.60   32.10
Berlin A  3  0.01  0.00   32.20   23.70   20.70
Berlin A  3  0.01  0.00   35.90   32.10   30.90
Berlin A  3  0.01  0.00   35.80   23.40   20.00
Berlin A  3  0.01  0.00   32.80   21.80   21.40
Berlin A  4  0.03  0.00   34.90   32.60   29.30
Berlin A  4  0.03  0.00   33.00   29.40   26.80
Berlin A  4  0.03  0.00   30.10   47.30   43.20
Berlin A  4  0.03  0.00   31.40   42.30   37.10
Berlin A  4  0.03  0.00   35.00   28.10   25.70
Berlin A  4  0.03  0.00   34.20   23.70   18.00
Berlin A  5  0.10  0.00   36.70   39.60   35.40
Berlin A  5  0.10  0.00   36.80   29.90   26.80
Berlin A  5  0.10  0.00   39.50   26.00   23.50
Berlin A  5  0.10  0.00   34.50   27.50   25.10
Berlin A  5  0.10  0.00   31.20   26.20   23.80
Berlin A  5  0.10  0.00   31.00   25.00   22.60
Berlin A  6  0.30  0.00   32.70   80.80   74.60
Berlin A  6  0.30  0.00   33.00   36.40   32.80
Berlin A  6  0.30  0.00   36.40   52.80   49.40
Berlin A  6  0.30  0.00   30.30   29.50   27.60
Berlin A  6  0.30  0.00   41.80   28.60   26.10
Berlin A  6  0.30  0.00   35.90   37.00   33.50
Berlin A  7  1.00  0.00   30.80   61.40   57.10
Berlin A  7  1.00  0.00   29.90  112.70   97.90
Berlin A  7  1.00  0.00   30.90   75.00   65.30
Berlin A  7  1.00  0.00   36.00   83.70   76.80
Berlin A  7  1.00  0.00   36.00  103.20   81.00
Berlin A  7  1.00  0.00   34.70  127.00  104.70
Berlin A  8  3.00  0.00   30.40  239.50  132.80
Berlin A  8  3.00  0.00   31.00  255.70  134.80
Berlin A  8  3.00  0.00   36.60  167.40  127.30
Berlin A  8  3.00  0.00   34.30  178.00  126.10
Berlin A  8  3.00  0.00   32.80  213.80  127.80
Berlin A  8  3.00  0.00   33.90  228.00  140.70
Berlin A  9 10.00  0.00   33.90  221.30  100.20
Berlin A  9 10.00  0.00   36.30  263.10  132.50
Berlin A  9 10.00  0.00   39.00  267.40  119.80
Berlin A  9 10.00  0.00   36.60  261.00  143.70
Berlin A  9 10.00  0.00   39.60  115.10   94.50
Berlin A  9 10.00  0.00   37.80  273.40  117.70
Berlin A 10  3.00  0.10   35.40  188.00  121.50
Berlin A 10  3.00  0.10   33.00  121.80   89.50
Berlin A 10  3.00  0.10   33.50  186.50  116.80
Berlin A 10  3.00  0.10   33.90  178.10  123.50
Berlin A 10  3.00  0.10   33.80  202.00  128.40
Berlin A 10  3.00  0.10   34.00  176.20  111.00
Berlin A 11  3.00  1.00   31.40   53.20   48.10
Berlin A 11  3.00  1.00   33.00   79.40   74.20
Berlin A 11  3.00  1.00   35.10   65.50   60.00
Berlin A 11  3.00  1.00   35.90  108.70   88.30
Berlin A 11  3.00  1.00   31.90   52.00   47.90
Berlin A 11  3.00  1.00   34.00   49.80   47.10
Basf A  1  0.00  0.00    61.90    21.00    21.00
Basf A  1  0.00  0.00    55.90    22.00    22.00
Basf A  1  0.00  0.00    59.10    22.00    21.00
Basf A  1  0.00  0.00    54.80    26.00    26.00
Basf A  1  0.00  0.00    57.50    26.00    24.00
Basf A  1  0.00  0.00    52.70      .        .
Basf A  2  0.00  0.00    57.60    25.00    25.00
Basf A  2  0.00  0.00    60.30    23.00    22.00
Basf A  2  0.00  0.00    59.00    26.00    26.00
Basf A  2  0.00  0.00    59.10    25.00    24.00
Basf A  2  0.00  0.00    61.40    23.00    22.00
Basf A  2  0.00  0.00    47.90    24.00    24.00
Basf A  4  0.03  0.00    58.60    26.00    24.00
Basf A  4  0.03  0.00    60.20    21.00    20.00
Basf A  4  0.03  0.00    62.40    31.00    31.00
Basf A  4  0.03  0.00    60.90    32.00    30.00
Basf A  4  0.03  0.00    57.00    22.00    22.00
Basf A  4  0.03  0.00    53.00    21.00    20.00
Basf A  5  0.10  0.00    55.20    27.00    25.00
Basf A  5  0.10  0.00    52.90    26.00    26.00
Basf A  5  0.10  0.00    55.20    33.00    30.00
Basf A  5  0.10  0.00    57.30    33.00    28.00
Basf A  5  0.10  0.00    52.00    23.00    21.00
Basf A  5  0.10  0.00    56.80    25.00    25.00
Basf A  6  0.30  0.00    61.30    25.00    25.00
Basf A  6  0.30  0.00    61.20    27.00    25.00
Basf A  6  0.30  0.00    56.40    22.00    22.00
Basf A  6  0.30  0.00    58.80    21.00    21.00
Basf A  6  0.30  0.00    55.60    21.00    20.00
Basf A  6  0.30  0.00    54.50    22.00    20.00
Basf A  7  1.00  0.00    57.10    25.00    25.00
Basf A  7  1.00  0.00    61.80    30.00    30.00
Basf A  7  1.00  0.00    60.80    35.00    33.00
Basf A  7  1.00  0.00    55.00    31.00    29.00
Basf A  7  1.00  0.00    59.00    26.00    25.00
Basf A  7  1.00  0.00    55.70    30.00    28.00
Basf A  8  3.00  0.00    54.50    91.00    79.00
Basf A  8  3.00  0.00    58.50   125.00    99.00
Basf A  8  3.00  0.00    55.70   141.00    95.00
Basf A  8  3.00  0.00    55.70    93.00    89.00
Basf A  8  3.00  0.00    57.10   115.00    96.00
Basf A  8  3.00  0.00    53.90   109.00    97.00
Basf A  9 10.00  0.00    53.80   154.00   109.00
Basf A  9 10.00  0.00    52.90   168.00   113.00
Basf A  9 10.00  0.00    54.70   128.00    97.00
Basf A  9 10.00  0.00    55.10   210.00   117.00
Basf A  9 10.00  0.00    52.90   101.00    90.00
Basf A  9 10.00  0.00    56.30   183.00   126.00
Basf A 10  3.00  0.10    56.60    50.00    47.00
Basf A 10  3.00  0.10    61.70    55.00    52.00
Basf A 10  3.00  0.10    57.30    53.00    49.00
Basf A 10  3.00  0.10    54.20    36.00    36.00
Basf A 10  3.00  0.10    55.30    60.00    60.00
Basf A 10  3.00  0.10    56.40    48.00    46.00
Basf A 11  3.00  1.00    59.60    23.00    21.00
Basf A 11  3.00  1.00    51.10    22.00    21.00
Basf A 11  3.00  1.00    52.00    27.00    27.00
